main	0.00s	8.89s	0.00%	100.00%	busbar_example	E:\code\cpp\mpfem\examples\busbar_example.cpp	24	0x7ff6d8584cdf
mpfem::SteadyProblem::solve	0.00s	8.13s	0.00%	91.48%	busbar_example	E:\code\cpp\mpfem\src\problem\steady_problem.hpp	44	0x7ff6d85839de
mpfem::PhysicsFieldSolver::solveSteady	0.00s	5.11s	0.00%	57.51%	busbar_example	E:\code\cpp\mpfem\src\physics\physics_field_solver.hpp	60	0x7ff6d85841d0
mkl_pds_lp64_pardiso_c	0.03s	3.85s	0.29%	43.26%	busbar_example	[unknown]	0	0x7ff6d2aae243
mkl_pds_lp64_pardiso	0.00s	3.85s	0.00%	43.26%	busbar_example	[unknown]	0	0x7ff6d2a8d903
mpfem::PardisoSolver::setup	0.00s	3.69s	0.00%	41.45%	busbar_example	E:\code\cpp\mpfem\src\solver\pardiso_solver.cpp	94	0x7ff6d895e8a5
mkl_pds_lp64_do_all_pardiso_fc	0.01s	3.27s	0.07%	36.74%	busbar_example	[unknown]	0	0x7ff6d2b1b82c
mkl_pds_lp64_reorder1_pardiso	0.06s	2.63s	0.68%	29.56%	busbar_example	[unknown]	0	0x7ff6d2c1e326
mkl_pds_lp64_metis_nodend_vbsr_pardiso	0.05s	2.30s	0.55%	25.88%	busbar_example	[unknown]	0	0x7ff6d2c272cd
mkl_pds_lp64_metis_mlevelnesteddissection_pardiso	0.00s	2.04s	0.00%	22.91%	busbar_example	[unknown]	0	0x7ff6d3450a39
mpfem::CgOperator::apply	0.00s	1.96s	0.00%	22.10%	busbar_example	E:\code\cpp\mpfem\src\solver\eigen_solver.cpp	51	0x7ff6d8902ea5
Eigen::internal::conjugate_gradient<Eigen::Transpose<Eigen::Ref<Eigen::SparseMatrix<double,0,int> const ,0,Eigen::OuterStride<-1> > const >,Eigen::Matrix<double,-1,1,0,-1,1>,Eigen::Matrix<double,-1,1,0,-1,1>,mpfem::EigenPreconditionerAdapter>	1.15s	1.96s	12.96%	22.10%	busbar_example	E:\code\cpp\mpfem\build-msvc\vcpkg_installed\x64-windows\include\eigen3\Eigen\src\IterativeLinearSolvers\ConjugateGradient.h	41	0x7ff6d88b1f14
Eigen::ConjugateGradient<Eigen::SparseMatrix<double,0,int>,3,mpfem::EigenPreconditionerAdapter>::_solve_vector_with_guess_impl<Eigen::Matrix<double,-1,1,0,-1,1>,Eigen::Matrix<double,-1,1,0,-1,1> >	0.00s	1.96s	0.00%	22.10%	busbar_example	E:\code\cpp\mpfem\build-msvc\vcpkg_installed\x64-windows\include\eigen3\Eigen\src\IterativeLinearSolvers\ConjugateGradient.h	209	0x7ff6d8871c4f
mkl_pds_lp64_metis_mlevelnodebisection	0.00s	1.87s	0.00%	21.01%	busbar_example	[unknown]	0	0x7ff6d2c2ec37
